[1.877s][info][gc,heap      ] GC(8) Humongous regions: 20->11
[1.877s][info][gc,metaspace ] GC(8) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[1.877s][info][gc           ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 389M->52M(2048M) 6.202ms
[1.877s][info][gc,cpu       ] GC(8) User=0.17s Sys=0.03s Real=0.01s
[2.487s][info][gc,start     ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2.487s][info][gc,task      ] GC(9) Using 13 workers of 13 for evacuation
[2.496s][info][gc,phases    ] GC(9)   Pre Evacuate Collection Set: 0.0ms
[2.496s][info][gc,phases    ] GC(9)   Evacuate Collection Set: 8.3ms
[2.496s][info][gc,phases    ] GC(9)   Post Evacuate Collection Set: 0.3ms
[2.496s][info][gc,phases    ] GC(9)   Other: 0.2ms
[2.496s][info][gc,heap      ] GC(9) Eden regions: 657->0(839)
[2.496s][info][gc,heap      ] GC(9) Survivor regions: 27->39(86)
[2.496s][info][gc,heap      ] GC(9) Old regions: 15->15
[2.496s][info][gc,heap      ] GC(9) Humongous regions: 42->11
[2.496s][info][gc,metaspace ] GC(9) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[2.496s][info][gc           ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 740M->64M(2048M) 9.026ms
[2.496s][info][gc,cpu       ] GC(9) User=0.00s Sys=0.00s Real=0.01s
[3.143s][info][gc,start     ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[3.143s][info][gc,task      ] GC(10) Using 13 workers of 13 for evacuation
[3.153s][info][gc,phases    ] GC(10)   Pre Evacuate Collection Set: 0.0ms
[3.153s][info][gc,phases    ] GC(10)   Evacuate Collection Set: 9.5ms
[3.153s][info][gc,phases    ] GC(10)   Post Evacuate Collection Set: 0.4ms
[3.153s][info][gc,phases    ] GC(10)   Other: 0.2ms
[3.153s][info][gc,heap      ] GC(10) Eden regions: 736->0(832)
[3.153s][info][gc,heap      ] GC(10) Survivor regions: 39->51(97)
[3.153s][info][gc,heap      ] GC(10) Old regions: 15->15
[3.153s][info][gc,heap      ] GC(10) Humongous regions: 24->11
[3.153s][info][gc,metaspace ] GC(10) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[3.153s][info][gc           ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 813M->76M(2048M) 10.188ms
[3.153s][info][gc,cpu       ] GC(10) User=0.00s Sys=0.00s Real=0.01s
[3.868s][info][gc,start     ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[3.868s][info][gc,task      ] GC(11) Using 13 workers of 13 for evacuation
[3.882s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[3.882s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 13.1ms
[3.882s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.4ms
[3.882s][info][gc,phases    ] GC(11)   Other: 0.2ms
[3.882s][info][gc,heap      ] GC(11) Eden regions: 781->0(1166)
[3.882s][info][gc,heap      ] GC(11) Survivor regions: 51->62(104)
[3.882s][info][gc,heap      ] GC(11) Old regions: 15->15
[3.882s][info][gc,heap      ] GC(11) Humongous regions: 60->20
[3.882s][info][gc,metaspace ] GC(11) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[3.882s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 906M->96M(2048M) 13.915ms
[3.882s][info][gc,cpu       ] GC(11) User=0.17s Sys=0.03s Real=0.01s
[4.961s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[4.961s][info][gc,task      ] GC(12) Using 13 workers of 13 for evacuation
[4.977s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[4.977s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 14.5ms
[4.977s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.4ms
[4.977s][info][gc,phases    ] GC(12)   Other: 0.4ms
[4.977s][info][gc,heap      ] GC(12) Eden regions: 1166->0(1149)
[4.977s][info][gc,heap      ] GC(12) Survivor regions: 62->79(154)
[4.977s][info][gc,heap      ] GC(12) Old regions: 15->15
[4.977s][info][gc,heap      ] GC(12) Humongous regions: 54->20
[4.977s][info][gc,metaspace ] GC(12) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[4.977s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1296M->113M(2048M) 15.470ms
[4.977s][info][gc,cpu       ] GC(12) User=0.20s Sys=0.00s Real=0.02s
[5.991s][info][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[5.991s][info][gc,task      ] GC(13) Using 13 workers of 13 for evacuation
[6.006s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[6.007s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 15.0ms
[6.007s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 0.5ms
[6.007s][info][gc,phases    ] GC(13)   Other: 0.4ms
[6.007s][info][gc,heap      ] GC(13) Eden regions: 1149->0(1134)
[6.007s][info][gc,heap      ] GC(13) Survivor regions: 79->94(154)
[6.007s][info][gc,heap      ] GC(13) Old regions: 15->15
[6.007s][info][gc,heap      ] GC(13) Humongous regions: 51->20
[6.007s][info][gc,metaspace ] GC(13) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[6.007s][info][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1293M->128M(2048M) 15.942ms
[6.007s][info][gc,cpu       ] GC(13) User=0.20s Sys=0.00s Real=0.02s
[7.009s][info][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[7.009s][info][gc,task      ] GC(14) Using 13 workers of 13 for evacuation
[7.027s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[7.027s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 17.0ms
[7.027s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 0.5ms
[7.027s][info][gc,phases    ] GC(14)   Other: 0.4ms
[7.027s][info][gc,heap      ] GC(14) Eden regions: 1134->0(1139)
[7.027s][info][gc,heap      ] GC(14) Survivor regions: 94->89(154)
[7.027s][info][gc,heap      ] GC(14) Old regions: 15->34
[7.027s][info][gc,heap      ] GC(14) Humongous regions: 58->21
[7.027s][info][gc,metaspace ] GC(14) Metaspace: 7312K(7680K)->7312K(7680K) NonClass: 6673K(6912K)->6673K(6912K) Class: 638K(768K)->638K(768K)
[7.027s][info][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1300M->143M(2048M) 18.011ms
[7.027s][info][gc,cpu       ] GC(14) User=0.17s Sys=0.03s Real=0.02s
[8.049s][info][gc,start     ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[8.049s][info][gc,task      ] GC(15) Using 13 workers of 13 for evacuation
[8.068s][info][gc,phases    ] GC(15)   Pre Evacuate Collection Set: 0.0ms
[8.068s][info][gc,phases    ] GC(15)   Evacuate Collection Set: 18.3ms
[8.068s][info][gc,phases    ] GC(15)   Post Evacuate Collection Set: 0.6ms
[8.068s][info][gc,phases    ] GC(15)   Other: 0.4ms
[8.068s][info][gc,heap      ] GC(15) Eden regions: 1139->0(1145)
[8.068s][info][gc,heap      ] GC(15) Survivor regions: 89->83(154)
[8.068s][info][gc,heap      ] GC(15) Old regions: 34->54
[8.068s][info][gc,heap      ] GC(15) Humongous regions: 51->20
[8.068s][info][gc,metaspace ] GC(15) Metaspace: 7316K(7680K)->7316K(7680K) NonClass: 6677K(6912K)->6677K(6912K) Class: 638K(768K)->638K(768K)
[8.068s][info][gc           ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1312M->156M(2048M) 19.371ms
[8.068s][info][gc,cpu       ] GC(15) User=0.20s Sys=0.00s Real=0.02s
[9.153s][info][gc,start     ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[9.153s][info][gc,task      ] GC(16) Using 13 workers of 13 for evacuation
[9.178s][info][gc,phases    ] GC(16)   Pre Evacuate Collection Set: 0.0ms
[9.178s][info][gc,phases    ] GC(16)   Evacuate Collection Set: 23.8ms
