[0.866s][info][gc,heap      ] GC(11) Survivor regions: 50->58(154)
[0.866s][info][gc,heap      ] GC(11) Old regions: 10->10
[0.866s][info][gc,heap      ] GC(11) Humongous regions: 12->5
[0.866s][info][gc,metaspace ] GC(11) Metaspace: 8186K(8576K)->8186K(8576K) NonClass: 7458K(7680K)->7458K(7680K) Class: 727K(896K)->727K(896K)
[0.866s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1249M->72M(2048M) 4.183ms
[0.866s][info][gc,cpu       ] GC(11) User=0.00s Sys=0.00s Real=0.00s
[0.906s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[0.906s][info][gc,task      ] GC(12) Using 13 workers of 13 for evacuation
[0.910s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[0.910s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 4.1ms
[0.910s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.3ms
[0.910s][info][gc,phases    ] GC(12)   Other: 0.1ms
[0.910s][info][gc,heap      ] GC(12) Eden regions: 1170->0(1172)
[0.910s][info][gc,heap      ] GC(12) Survivor regions: 58->56(154)
[0.910s][info][gc,heap      ] GC(12) Old regions: 10->10
[0.910s][info][gc,heap      ] GC(12) Humongous regions: 5->5
[0.910s][info][gc,metaspace ] GC(12) Metaspace: 8191K(8576K)->8191K(8576K) NonClass: 7463K(7680K)->7463K(7680K) Class: 727K(896K)->727K(896K)
[0.910s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1242M->70M(2048M) 4.652ms
[0.910s][info][gc,cpu       ] GC(12) User=0.00s Sys=0.00s Real=0.00s
[0.950s][info][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[0.950s][info][gc,task      ] GC(13) Using 13 workers of 13 for evacuation
[0.954s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[0.954s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 3.3ms
[0.954s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 0.3ms
[0.954s][info][gc,phases    ] GC(13)   Other: 0.1ms
[0.954s][info][gc,heap      ] GC(13) Eden regions: 1172->0(1171)
[0.954s][info][gc,heap      ] GC(13) Survivor regions: 56->57(154)
[0.954s][info][gc,heap      ] GC(13) Old regions: 10->10
[0.954s][info][gc,heap      ] GC(13) Humongous regions: 12->7
[0.954s][info][gc,metaspace ] GC(13) Metaspace: 8191K(8576K)->8191K(8576K) NonClass: 7463K(7680K)->7463K(7680K) Class: 727K(896K)->727K(896K)
[0.954s][info][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1249M->73M(2048M) 3.818ms
[0.954s][info][gc,cpu       ] GC(13) User=0.00s Sys=0.00s Real=0.00s
[0.993s][info][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[0.993s][info][gc,task      ] GC(14) Using 13 workers of 13 for evacuation
[0.998s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.0ms
[0.998s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 4.5ms
[0.998s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 0.3ms
[0.998s][info][gc,phases    ] GC(14)   Other: 0.1ms
[0.998s][info][gc,heap      ] GC(14) Eden regions: 1171->0(1169)
[0.998s][info][gc,heap      ] GC(14) Survivor regions: 57->59(154)
[0.998s][info][gc,heap      ] GC(14) Old regions: 10->10
[0.998s][info][gc,heap      ] GC(14) Humongous regions: 9->7
[0.998s][info][gc,metaspace ] GC(14) Metaspace: 8195K(8576K)->8195K(8576K) NonClass: 7467K(7680K)->7467K(7680K) Class: 727K(896K)->727K(896K)
[0.998s][info][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1246M->75M(2048M) 4.978ms
[0.998s][info][gc,cpu       ] GC(14) User=0.12s Sys=0.08s Real=0.00s
[1.038s][info][gc,start     ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[1.038s][info][gc,task      ] GC(15) Using 13 workers of 13 for evacuation
[1.042s][info][gc,phases    ] GC(15)   Pre Evacuate Collection Set: 0.0ms
[1.042s][info][gc,phases    ] GC(15)   Evacuate Collection Set: 3.8ms
[1.042s][info][gc,phases    ] GC(15)   Post Evacuate Collection Set: 0.2ms
[1.042s][info][gc,phases    ] GC(15)   Other: 0.1ms
[1.042s][info][gc,heap      ] GC(15) Eden regions: 1169->0(1166)
[1.042s][info][gc,heap      ] GC(15) Survivor regions: 59->62(154)
[1.042s][info][gc,heap      ] GC(15) Old regions: 10->10
[1.042s][info][gc,heap      ] GC(15) Humongous regions: 11->7
[1.042s][info][gc,metaspace ] GC(15) Metaspace: 8195K(8576K)->8195K(8576K) NonClass: 7467K(7680K)->7467K(7680K) Class: 727K(896K)->727K(896K)
[1.042s][info][gc           ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1248M->77M(2048M) 4.238ms
[1.042s][info][gc,cpu       ] GC(15) User=0.05s Sys=0.06s Real=0.00s
[1.081s][info][gc,start     ] GC(16) Pause Young (Normal) (G1 Evacuation Pause)
[1.081s][info][gc,task      ] GC(16) Using 13 workers of 13 for evacuation
[1.084s][info][gc,phases    ] GC(16)   Pre Evacuate Collection Set: 0.0ms
[1.084s][info][gc,phases    ] GC(16)   Evacuate Collection Set: 3.5ms
[1.085s][info][gc,phases    ] GC(16)   Post Evacuate Collection Set: 0.2ms
[1.085s][info][gc,phases    ] GC(16)   Other: 0.1ms
[1.085s][info][gc,heap      ] GC(16) Eden regions: 1166->0(1167)
[1.085s][info][gc,heap      ] GC(16) Survivor regions: 62->61(154)
[1.085s][info][gc,heap      ] GC(16) Old regions: 10->11
[1.085s][info][gc,heap      ] GC(16) Humongous regions: 9->8
[1.085s][info][gc,metaspace ] GC(16) Metaspace: 8199K(8576K)->8199K(8576K) NonClass: 7471K(7680K)->7471K(7680K) Class: 727K(896K)->727K(896K)
[1.085s][info][gc           ] GC(16) Pause Young (Normal) (G1 Evacuation Pause) 1245M->78M(2048M) 3.978ms
[1.085s][info][gc,cpu       ] GC(16) User=0.00s Sys=0.00s Real=0.00s
[1.123s][info][gc,start     ] GC(17) Pause Young (Normal) (G1 Evacuation Pause)
[1.123s][info][gc,task      ] GC(17) Using 13 workers of 13 for evacuation
[1.127s][info][gc,phases    ] GC(17)   Pre Evacuate Collection Set: 0.0ms
[1.127s][info][gc,phases    ] GC(17)   Evacuate Collection Set: 3.7ms
[1.127s][info][gc,phases    ] GC(17)   Post Evacuate Collection Set: 0.2ms
[1.127s][info][gc,phases    ] GC(17)   Other: 0.1ms
[1.127s][info][gc,heap      ] GC(17) Eden regions: 1167->0(1167)
[1.127s][info][gc,heap      ] GC(17) Survivor regions: 61->61(154)
[1.127s][info][gc,heap      ] GC(17) Old regions: 11->11
[1.127s][info][gc,heap      ] GC(17) Humongous regions: 9->8
[1.127s][info][gc,metaspace ] GC(17) Metaspace: 8202K(8576K)->8202K(8576K) NonClass: 7474K(7680K)->7474K(7680K) Class: 727K(896K)->727K(896K)
[1.127s][info][gc           ] GC(17) Pause Young (Normal) (G1 Evacuation Pause) 1246M->79M(2048M) 4.124ms
[1.127s][info][gc,cpu       ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[1.166s][info][gc,start     ] GC(18) Pause Young (Normal) (G1 Evacuation Pause)
[1.166s][info][gc,task      ] GC(18) Using 13 workers of 13 for evacuation
[1.171s][info][gc,phases    ] GC(18)   Pre Evacuate Collection Set: 0.0ms
[1.171s][info][gc,phases    ] GC(18)   Evacuate Collection Set: 3.7ms
[1.171s][info][gc,phases    ] GC(18)   Post Evacuate Collection Set: 1.1ms
[1.171s][info][gc,phases    ] GC(18)   Other: 0.1ms
[1.171s][info][gc,heap      ] GC(18) Eden regions: 1167->0(1218)
[1.171s][info][gc,heap      ] GC(18) Survivor regions: 61->60(154)
[1.171s][info][gc,heap      ] GC(18) Old regions: 11->14
[1.171s][info][gc,heap      ] GC(18) Humongous regions: 11->8
[1.171s][info][gc,metaspace ] GC(18) Metaspace: 8203K(8576K)->8203K(8576K) NonClass: 7476K(7680K)->7476K(7680K) Class: 727K(896K)->727K(896K)
[1.171s][info][gc           ] GC(18) Pause Young (Normal) (G1 Evacuation Pause) 1249M->80M(2130M) 4.971ms
[1.171s][info][gc,cpu       ] GC(18) User=0.09s Sys=0.11s Real=0.00s
[1.212s][info][gc,start     ] GC(19) Pause Young (Normal) (G1 Evacuation Pause)
[1.212s][info][gc,task      ] GC(19) Using 13 workers of 13 for evacuation
[1.217s][info][gc,phases    ] GC(19)   Pre Evacuate Collection Set: 0.0ms
[1.217s][info][gc,phases    ] GC(19)   Evacuate Collection Set: 4.2ms
[1.217s][info][gc,phases    ] GC(19)   Post Evacuate Collection Set: 0.2ms
[1.217s][info][gc,phases    ] GC(19)   Other: 0.1ms
[1.217s][info][gc,heap      ] GC(19) Eden regions: 1218->0(1217)
[1.217s][info][gc,heap      ] GC(19) Survivor regions: 60->61(160)
[1.217s][info][gc,heap      ] GC(19) Old regions: 14->15
[1.217s][info][gc,heap      ] GC(19) Humongous regions: 9->8
[1.217s][info][gc,metaspace ] GC(19) Metaspace: 8204K(8576K)->8204K(8576K) NonClass: 7476K(7680K)->7476K(7680K) Class: 727K(896K)->727K(896K)
[1.217s][info][gc           ] GC(19) Pause Young (Normal) (G1 Evacuation Pause) 1299M->83M(2130M) 4.707ms
[1.217s][info][gc,cpu       ] GC(19) User=0.16s Sys=0.05s Real=0.00s
[1.257s][info][gc,start     ] GC(20) Pause Young (Normal) (G1 Evacuation Pause)
[1.257s][info][gc,task      ] GC(20) Using 13 workers of 13 for evacuation
[1.261s][info][gc,phases    ] GC(20)   Pre Evacuate Collection Set: 0.0ms
[1.261s][info][gc,phases    ] GC(20)   Evacuate Collection Set: 3.7ms
[1.261s][info][gc,phases    ] GC(20)   Post Evacuate Collection Set: 0.3ms
[1.261s][info][gc,phases    ] GC(20)   Other: 0.1ms
[1.261s][info][gc,heap      ] GC(20) Eden regions: 1217->0(1218)
[1.261s][info][gc,heap      ] GC(20) Survivor regions: 61->60(160)
[1.261s][info][gc,heap      ] GC(20) Old regions: 15->16
[1.261s][info][gc,heap      ] GC(20) Humongous regions: 10->8
[1.261s][info][gc,metaspace ] GC(20) Metaspace: 8206K(8576K)->8206K(8576K) NonClass: 7478K(7680K)->7478K(7680K) Class: 727K(896K)->727K(896K)
