[1.188s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 647M->82M(1024M) 8.285ms
[1.188s][info][gc,cpu      ] GC(10) User=0.02s Sys=0.00s Real=0.01s
[1.246s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[1.246s][info][gc,task     ] GC(11) Using 10 workers of 10 for evacuation
[1.254s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.2ms
[1.254s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.1ms
[1.254s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 6.8ms
[1.254s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.5ms
[1.254s][info][gc,phases   ] GC(11)   Other: 0.1ms
[1.254s][info][gc,heap     ] GC(11) Eden regions: 569->0(569)
[1.254s][info][gc,heap     ] GC(11) Survivor regions: 45->45(77)
[1.254s][info][gc,heap     ] GC(11) Old regions: 33->40
[1.254s][info][gc,heap     ] GC(11) Humongous regions: 9->6
[1.254s][info][gc,metaspace] GC(11) Metaspace: 1757K(1856K)->1757K(1856K) NonClass: 1616K(1664K)->1616K(1664K) Class: 140K(192K)->140K(192K)
[1.254s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 654M->89M(1024M) 8.007ms
[1.254s][info][gc,cpu      ] GC(11) User=0.00s Sys=0.00s Real=0.01s
[1.311s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[1.311s][info][gc,task     ] GC(12) Using 10 workers of 10 for evacuation
[1.319s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.2ms
[1.319s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.1ms
[1.319s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 6.3ms
[1.319s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.9ms
[1.319s][info][gc,phases   ] GC(12)   Other: 0.1ms
[1.319s][info][gc,heap     ] GC(12) Eden regions: 569->0(608)
[1.319s][info][gc,heap     ] GC(12) Survivor regions: 45->47(77)
[1.319s][info][gc,heap     ] GC(12) Old regions: 40->43
[1.319s][info][gc,heap     ] GC(12) Humongous regions: 8->7
[1.319s][info][gc,metaspace] GC(12) Metaspace: 1758K(1856K)->1758K(1856K) NonClass: 1617K(1664K)->1617K(1664K) Class: 140K(192K)->140K(192K)
[1.319s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 660M->95M(1093M) 7.881ms
[1.319s][info][gc,cpu      ] GC(12) User=0.00s Sys=0.00s Real=0.01s
[1.383s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[1.383s][info][gc,task     ] GC(13) Using 10 workers of 10 for evacuation
[1.391s][info][gc,phases   ] GC(13)   Pre Evacuate Collection Set: 0.2ms
[1.391s][info][gc,phases   ] GC(13)   Merge Heap Roots: 0.1ms
[1.391s][info][gc,phases   ] GC(13)   Evacuate Collection Set: 7.4ms
[1.391s][info][gc,phases   ] GC(13)   Post Evacuate Collection Set: 0.5ms
[1.391s][info][gc,phases   ] GC(13)   Other: 0.1ms
[1.391s][info][gc,heap     ] GC(13) Eden regions: 608->0(604)
[1.392s][info][gc,heap     ] GC(13) Survivor regions: 47->51(82)
[1.392s][info][gc,heap     ] GC(13) Old regions: 43->49
[1.392s][info][gc,heap     ] GC(13) Humongous regions: 9->6
[1.392s][info][gc,metaspace] GC(13) Metaspace: 1761K(1856K)->1761K(1856K) NonClass: 1621K(1664K)->1621K(1664K) Class: 140K(192K)->140K(192K)
[1.392s][info][gc          ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 705M->105M(1093M) 8.674ms
[1.392s][info][gc,cpu      ] GC(13) User=0.03s Sys=0.02s Real=0.01s
[1.450s][info][gc,start    ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[1.450s][info][gc,task     ] GC(14) Using 10 workers of 10 for evacuation
[1.458s][info][gc,phases   ] GC(14)   Pre Evacuate Collection Set: 0.2ms
[1.458s][info][gc,phases   ] GC(14)   Merge Heap Roots: 0.1ms
[1.458s][info][gc,phases   ] GC(14)   Evacuate Collection Set: 7.1ms
[1.458s][info][gc,phases   ] GC(14)   Post Evacuate Collection Set: 0.5ms
[1.458s][info][gc,phases   ] GC(14)   Other: 0.1ms
[1.458s][info][gc,heap     ] GC(14) Eden regions: 604->0(606)
[1.458s][info][gc,heap     ] GC(14) Survivor regions: 51->49(82)
[1.458s][info][gc,heap     ] GC(14) Old regions: 49->54
[1.458s][info][gc,heap     ] GC(14) Humongous regions: 13->8
