[1.304s][info][gc,task      ] GC(11) Using 13 workers of 13 for evacuation
[1.318s][info][gc,phases    ] GC(11)   Pre Evacuate Collection Set: 0.0ms
[1.318s][info][gc,phases    ] GC(11)   Evacuate Collection Set: 13.1ms
[1.318s][info][gc,phases    ] GC(11)   Post Evacuate Collection Set: 0.4ms
[1.318s][info][gc,phases    ] GC(11)   Other: 0.2ms
[1.318s][info][gc,heap      ] GC(11) Eden regions: 624->0(678)
[1.318s][info][gc,heap      ] GC(11) Survivor regions: 53->85(85)
[1.318s][info][gc,heap      ] GC(11) Old regions: 317->406
[1.318s][info][gc,heap      ] GC(11) Humongous regions: 74->27
[1.318s][info][gc,metaspace ] GC(11) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[1.318s][info][gc           ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1067M->517M(2048M) 13.876ms
[1.318s][info][gc,cpu       ] GC(11) User=0.08s Sys=0.12s Real=0.01s
[1.549s][info][gc,start     ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[1.549s][info][gc,task      ] GC(12) Using 13 workers of 13 for evacuation
[1.564s][info][gc,phases    ] GC(12)   Pre Evacuate Collection Set: 0.0ms
[1.564s][info][gc,phases    ] GC(12)   Evacuate Collection Set: 14.4ms
[1.564s][info][gc,phases    ] GC(12)   Post Evacuate Collection Set: 0.3ms
[1.564s][info][gc,phases    ] GC(12)   Other: 0.2ms
[1.564s][info][gc,heap      ] GC(12) Eden regions: 678->0(710)
[1.564s][info][gc,heap      ] GC(12) Survivor regions: 85->96(96)
[1.564s][info][gc,heap      ] GC(12) Old regions: 406->526
[1.564s][info][gc,heap      ] GC(12) Humongous regions: 91->35
[1.564s][info][gc,metaspace ] GC(12) Metaspace: 6875K(7168K)->6875K(7168K) NonClass: 6285K(6400K)->6285K(6400K) Class: 589K(768K)->589K(768K)
[1.564s][info][gc           ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 1259M->656M(2048M) 15.072ms
[1.564s][info][gc,cpu       ] GC(12) User=0.03s Sys=0.17s Real=0.01s
[1.802s][info][gc,start     ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
[1.803s][info][gc,task      ] GC(13) Using 13 workers of 13 for evacuation
[1.820s][info][gc,phases    ] GC(13)   Pre Evacuate Collection Set: 0.0ms
[1.820s][info][gc,phases    ] GC(13)   Evacuate Collection Set: 15.6ms
[1.820s][info][gc,phases    ] GC(13)   Post Evacuate Collection Set: 1.8ms
[1.820s][info][gc,phases    ] GC(13)   Other: 0.2ms
