[1.719s][info][gc,heap      ] GC(13) Survivor regions: 87->105(105)
[1.719s][info][gc,heap      ] GC(13) Old regions: 507->632
[1.719s][info][gc,heap      ] GC(13) Humongous regions: 125->48
[1.719s][info][gc,metaspace ] GC(13) Metaspace: 6843K(7168K)->6843K(7168K) NonClass: 6255K(6400K)->6255K(6400K) Class: 587K(768K)->587K(768K)
[1.719s][info][gc           ] GC(13) Pause Young (Normal) (G1 Evacuation Pause) 1470M->784M(2282M) 19.702ms
[1.719s][info][gc,cpu       ] GC(13) User=0.12s Sys=0.09s Real=0.02s
[2.008s][info][gc,start     ] GC(14) Pause Young (Normal) (G1 Evacuation Pause)
[2.008s][info][gc,task      ] GC(14) Using 13 workers of 13 for evacuation
[2.024s][info][gc,phases    ] GC(14)   Pre Evacuate Collection Set: 0.1ms
[2.024s][info][gc,phases    ] GC(14)   Evacuate Collection Set: 15.6ms
[2.024s][info][gc,phases    ] GC(14)   Post Evacuate Collection Set: 0.4ms
[2.024s][info][gc,phases    ] GC(14)   Other: 0.2ms
[2.024s][info][gc,heap      ] GC(14) Eden regions: 777->0(724)
[2.024s][info][gc,heap      ] GC(14) Survivor regions: 105->111(111)
[2.024s][info][gc,heap      ] GC(14) Old regions: 632->774
[2.024s][info][gc,heap      ] GC(14) Humongous regions: 161->62
[2.024s][info][gc,metaspace ] GC(14) Metaspace: 6844K(7168K)->6844K(7168K) NonClass: 6256K(6400K)->6256K(6400K) Class: 587K(768K)->587K(768K)
[2.024s][info][gc           ] GC(14) Pause Young (Normal) (G1 Evacuation Pause) 1673M->946M(2282M) 16.354ms
[2.024s][info][gc,cpu       ] GC(14) User=0.08s Sys=0.12s Real=0.02s
[2.269s][info][gc,start     ] GC(15) Pause Young (Normal) (G1 Evacuation Pause)
[2.270s][info][gc,task      ] GC(15) Using 13 workers of 13 for evacuation
[2.286s][info][gc,phases    ] GC(15)   Pre Evacuate Collection Set: 0.1ms
[2.286s][info][gc,phases    ] GC(15)   Evacuate Collection Set: 15.7ms
[2.286s][info][gc,phases    ] GC(15)   Post Evacuate Collection Set: 0.3ms
[2.286s][info][gc,phases    ] GC(15)   Other: 0.2ms
[2.286s][info][gc,heap      ] GC(15) Eden regions: 724->0(639)
[2.286s][info][gc,heap      ] GC(15) Survivor regions: 111->105(105)
[2.286s][info][gc,heap      ] GC(15) Old regions: 774->919
[2.286s][info][gc,heap      ] GC(15) Humongous regions: 154->76
[2.286s][info][gc,metaspace ] GC(15) Metaspace: 6844K(7168K)->6844K(7168K) NonClass: 6256K(6400K)->6256K(6400K) Class: 587K(768K)->587K(768K)
[2.286s][info][gc           ] GC(15) Pause Young (Normal) (G1 Evacuation Pause) 1762M->1099M(2282M) 16.404ms
[2.286s][info][gc,cpu       ] GC(15) User=0.08s Sys=0.12s Real=0.02s
[2.413s][info][gc,start     ] GC(16) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2.413s][info][gc,task      ] GC(16) Using 13 workers of 13 for evacuation
[2.423s][info][gc,phases    ] GC(16)   Pre Evacuate Collection Set: 0.1ms
[2.423s][info][gc,phases    ] GC(16)   Evacuate Collection Set: 8.9ms
[2.423s][info][gc,phases    ] GC(16)   Post Evacuate Collection Set: 0.3ms
[2.423s][info][gc,phases    ] GC(16)   Other: 0.2ms
[2.423s][info][gc,heap      ] GC(16) Eden regions: 398->0(535)
[2.423s][info][gc,heap      ] GC(16) Survivor regions: 105->76(93)
[2.423s][info][gc,heap      ] GC(16) Old regions: 919->1025
[2.423s][info][gc,heap      ] GC(16) Humongous regions: 108->83
[2.423s][info][gc,metaspace ] GC(16) Metaspace: 6844K(7168K)->6844K(7168K) NonClass: 6256K(6400K)->6256K(6400K) Class: 587K(768K)->587K(768K)
[2.423s][info][gc           ] GC(16) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1529M->1183M(2282M) 9.579ms
[2.423s][info][gc,cpu       ] GC(16) User=0.03s Sys=0.12s Real=0.01s
[2.423s][info][gc           ] GC(17) Concurrent Cycle
[2.423s][info][gc,marking   ] GC(17) Concurrent Clear Claimed Marks
[2.423s][info][gc,marking   ] GC(17) Concurrent Clear Claimed Marks 0.012ms
[2.423s][info][gc,marking   ] GC(17) Concurrent Scan Root Regions
[2.423s][info][gc,marking   ] GC(17) Concurrent Scan Root Regions 0.256ms
[2.423s][info][gc,marking   ] GC(17) Concurrent Mark (2.423s)
[2.423s][info][gc,marking   ] GC(17) Concurrent Mark From Roots
[2.423s][info][gc,task      ] GC(17) Using 3 workers of 3 for marking
[2.426s][info][gc,marking   ] GC(17) Concurrent Mark From Roots 2.382ms
[2.426s][info][gc,marking   ] GC(17) Concurrent Preclean
[2.426s][info][gc,marking   ] GC(17) Concurrent Preclean 0.062ms
[2.426s][info][gc,marking   ] GC(17) Concurrent Mark (2.423s, 2.426s) 2.489ms
[2.426s][info][gc,start     ] GC(17) Pause Remark
[2.426s][info][gc,stringtable] GC(17) Cleaned string and symbol table, strings: 2628 processed, 4 removed, symbols: 25587 processed, 0 removed
[2.426s][info][gc            ] GC(17) Pause Remark 1192M->1192M(2282M) 0.531ms
[2.426s][info][gc,cpu        ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[2.426s][info][gc,marking    ] GC(17) Concurrent Rebuild Remembered Sets
[2.428s][info][gc,marking    ] GC(17) Concurrent Rebuild Remembered Sets 1.326ms
[2.428s][info][gc,start      ] GC(17) Pause Cleanup
[2.428s][info][gc            ] GC(17) Pause Cleanup 1197M->1197M(2282M) 0.222ms
[2.428s][info][gc,cpu        ] GC(17) User=0.00s Sys=0.00s Real=0.00s
[2.428s][info][gc,marking    ] GC(17) Concurrent Cleanup for Next Mark
[2.429s][info][gc,marking    ] GC(17) Concurrent Cleanup for Next Mark 1.132ms
[2.429s][info][gc            ] GC(17) Concurrent Cycle 6.248ms
[2.431s][info][gc,start      ] GC(18) Pause Young (Concurrent Start) (G1 Humongous Allocation)
[2.431s][info][gc,task       ] GC(18) Using 13 workers of 13 for evacuation
[2.435s][info][gc,phases     ] GC(18)   Pre Evacuate Collection Set: 0.0ms
[2.435s][info][gc,phases     ] GC(18)   Evacuate Collection Set: 3.8ms
[2.435s][info][gc,phases     ] GC(18)   Post Evacuate Collection Set: 0.2ms
[2.435s][info][gc,phases     ] GC(18)   Other: 0.1ms
[2.435s][info][gc,heap       ] GC(18) Eden regions: 20->0(493)
[2.435s][info][gc,heap       ] GC(18) Survivor regions: 76->5(77)
[2.435s][info][gc,heap       ] GC(18) Old regions: 1025->1101
[2.435s][info][gc,heap       ] GC(18) Humongous regions: 85->83
[2.435s][info][gc,metaspace  ] GC(18) Metaspace: 6844K(7168K)->6844K(7168K) NonClass: 6256K(6400K)->6256K(6400K) Class: 587K(768K)->587K(768K)
[2.435s][info][gc            ] GC(18) Pause Young (Concurrent Start) (G1 Humongous Allocation) 1204M->1187M(2282M) 4.151ms
[2.435s][info][gc,cpu        ] GC(18) User=0.00s Sys=0.00s Real=0.00s
[2.435s][info][gc            ] GC(19) Concurrent Cycle
[2.435s][info][gc,marking    ] GC(19) Concurrent Clear Claimed Marks
[2.435s][info][gc,marking    ] GC(19) Concurrent Clear Claimed Marks 0.012ms
[2.435s][info][gc,marking    ] GC(19) Concurrent Scan Root Regions
[2.435s][info][gc,marking    ] GC(19) Concurrent Scan Root Regions 0.036ms
[2.435s][info][gc,marking    ] GC(19) Concurrent Mark (2.435s)
[2.435s][info][gc,marking    ] GC(19) Concurrent Mark From Roots
[2.435s][info][gc,task       ] GC(19) Using 3 workers of 3 for marking
[2.437s][info][gc,marking    ] GC(19) Concurrent Mark From Roots 1.829ms
[2.437s][info][gc,marking    ] GC(19) Concurrent Preclean
[2.437s][info][gc,marking    ] GC(19) Concurrent Preclean 0.074ms
[2.437s][info][gc,marking    ] GC(19) Concurrent Mark (2.435s, 2.437s) 1.937ms
[2.437s][info][gc,start      ] GC(19) Pause Remark
[2.438s][info][gc,stringtable] GC(19) Cleaned string and symbol table, strings: 2624 processed, 0 removed, symbols: 25587 processed, 0 removed
[2.438s][info][gc            ] GC(19) Pause Remark 1194M->1194M(2282M) 0.489ms
[2.438s][info][gc,cpu        ] GC(19) User=0.00s Sys=0.00s Real=0.00s
